Title,Opponent,Score,Date,Location (City),Location (Stadium),Latitude,Longitude,Cost,Description,Source,Relation,Rights,Reference URL,CONTENTdm number,Image Link
"Football Program. Idaho -University of Montana, 10/06/1962, Dornblaser Field, Missoula (Montana)",University of Montana,16-22,10/6/1962,Missoula (Montana),Dornblaser Field,46.860703,-113.981859,$0.25,"Official souvenir program of the Idaho - University of Montana football game, Saturday, October 6, 1962 , Dornblaser Field, Missoula (Montana). Homecoming. Cover depicts a picture of a football player with stiff arm extended.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,88",88,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=88&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=2788&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Montana State University, 10/20/1962, Gatton Field, Bozeman (Montana)",Montana State University,15-33,10/20/1962,Bozeman (Montana),Gatton Field,45.664489,-111.048372,$0.25,"Official souvenir program of the Idaho - Montana State University football game, Saturday, October 20, 1962, Gatton Field, Bozeman (Montana). Homecoming. Cover depicts a picture of a whole team in a circle.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,89",89,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=89&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=2889&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Arizona State, 09/28/1957, Goodwin Stadium, Phoenix (Arizona)",Arizona State,7-19,9/28/1957,Phoenix (Arizona),Goodwin Stadium,33.423792,-111.932407,$0.25,"Official souvenir program of the Idaho - Arizona State football game, Saturday, September 28, 1957, Phoenix (Arizona) Goodwin Stadium. Cover depicts a picture of a football player and an area view of the football field.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,14",14,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=14&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=2914&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Oregon State, 09/17/1960, Hayward Field, Eugene (Oregon)",Oregon State,6-33,9/17/1960,Eugene (Oregon),Hayward Field,44.04225,-123.07067,$0.50,"Official souvenir program of the Idaho - Oregon State football game, Saturday, September 17, 1960, Hayward Field, Eugene (Oregon).  Cover depicts a cartoon drawing of a football player in a yellow uniform holding a football.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,16",16,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=16&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3016&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 09/23/1961, Hayward Field, Eugene (Oregon)",University of Oregon,0-51,9/23/1961,Eugene (Oregon),Hayward Field,44.04225,-123.07065,$0.50,"Official souvenir program of the Idaho - University of Oregon football game, Friday, September 23, 1961, Hayward Field, Eugene (Oregon). Cover depicts a picture of a football player in a yellow uniform with a football.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,25",25,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=25&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3125&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 10/12/1963, Hayward Field, Eugene (Oregon)",University of Oregon,21-41,10/12/1963,Eugene (Oregon),Hayward Field,44.04227,-123.07067,$0.50,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, October 12, 1963, Hayward Field, Eugene (Oregon). Cover depicts a cartoon picture of a football player in red tackling a football player in a green uniform.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,29",29,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=29&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3229&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 09/20/1958, Hayward Field, Eugene (Oregon)",University of Oregon,0-27,9/20/1958,Eugene (Oregon),Hayward Field,44.04225,-123.07067,$0.35,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, September 20, 1958, Hayward Field, Eugene (Oregon). Cover depicts a picture of a football player in a yellow uniform jumping in the air.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,33",33,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=33&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3333&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 09/29/1956, Hayward Field, Eugene (Oregon)",University of Oregon,14-21,9/29/1956,Eugene (Oregon),Hayward Field,44.04229,-123.07067,$0.35,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, September 29, 1956, Hayward Field, Eugene (Oregon). Cover depicts a picture of a cartoon picture of a football players in yellow uniforms.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,127",127,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=127&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=34127&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Gonzaga University, 10/07/1934, MacLean Field, Moscow (Idaho)",Gonzaga University,20-24,10/7/1934,Moscow (Idaho),MacLean Field,46.725561,-117.013074,,"Official souvenir program of the Idaho - Gonzaga University football game, Sunday, October 07, 1934, MacLean Field, Moscow (Idaho). Cover depicts picture of fans looking down on the football team.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,67",67,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=67&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3567&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Gonzaga University, 10/31/1931, Neale Stadium, Moscow (Idaho)",Gonzaga University,7-6,10/31/1931,Moscow (Idaho),MacLean Field,46.725561,-117.013054,,"Official souvenir program of the Idaho - Gonzaga University football game, Saturday, October 31, 1931, MacLean Field, Moscow (Idaho). Homecoming Game. Cover depicts picture of Vandals chasing Bulldogs in a circle.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,68",68,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=68&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3668&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Montana, 10/28/1933, MacLean Field, Moscow (Idaho)",University of Montana,12-6,10/28/1933,Moscow (Idaho),MacLean Field,46.725581,-117.013074,,"Official souvenir program of the Idaho - University of Montana football game, Saturday, October 23, 1948,MacLean Field, Moscow (Idaho). Pacific Coast Conference Game. Cover depicts football players running.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,78",78,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=78&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3778&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Washington State University, 10/18/1912, Neale Stadium, Moscow (Idaho)",Washington State,,10/18/1912,Moscow (Idaho),MacLean Field,46.725601,-117.013094,,"Official souvenir program of the Idaho - Washington State College football game, Friday, October 18, 1912, Neale Stadium, Moscow (Idaho). Annual Game. Cover depicts a picture of a woman who is a fan of the WSC.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,148",148,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=148&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=38148&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Missouri, 10/05/1963, Memorial Stadium, Columbia (Missouri)",University of Missouri,0-24,10/5/1963,Columbia (Missouri),Memorial Stadium,38.936012,-92.333632,$0.50,"Official souvenir program of the Idaho - University of Missouri football game, Saturday, October 05, 1963, Memorial Stadium, Columbia (Missouri). Cover depicts picture of a sheriff tiger with a Vandal locked up in jail.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,73",73,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=73&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=3973&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Army , 10/21/1961, West Point (New York)",Army,7-51,10/21/1961,West Point (New York),Michie Stadium,41.387368,-73.96414,$0.75,"Official souvenir program of the Idaho -  football game, Saturday, October 21, 1961, West Point (New York). Dick Eckert and John Ellerton.  Cover depicts the Army Gridiron Magazine.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,75",75,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=75&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4075&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 10/28/1922, Multnomah Field, Eugene (Oregon)",University of Oregon,0-3,10/28/1922,Eugene (Oregon),Multnomah Field,45.521274,-122.691761,,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, October 21, 1922, Multnomah Field, Eugene (Oregon). Cover depicts a picture of a football player in a three point stance.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,44",44,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=44&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4144&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - College of the Pacific, 10/08/1955, Neale Stadium, Moscow (Idaho)",College of the Pacific,0-20,10/8/1955,Moscow (Idaho),Neale Stadium,46.726253,-117.015671,$0.25,"Official souvenir program of the Idaho - College of the Pacific football game, Saturday, October 08, 1955, Neale Stadium, Moscow (Idaho). Homecoming.  Cover depicts pictures of football players about to kickoff.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,1",1,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=1&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=421&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Washington State University, 11/10/1951, Neale Stadium, Moscow (Idaho)",Washington State,6-9,11/10/1951,Moscow (Idaho),Neale Stadium,46.726273,-117.015651,$0.25,"Official souvenir program of the Idaho - Washington State University football game, Saturday, November 10, 1951, Neale Stadium, Moscow (Idaho). Homecoming. Cover depicts a cartoon picture of a old man holding up a football uniform.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,5",5,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=5&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=435&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Washington State University, 11/18/1962, Neale Stadium, Moscow (Idaho)",Washington State,14-22,11/18/1962,Moscow (Idaho),Neale Stadium,46.726293,-117.015631,$0.25,"Official souvenir program of the Idaho - Washington State University football game, Sunday, November 17, 1962, Neale Stadium, Moscow (Idaho).  Cover depicts a cartoon drawing of three football players two in a red uniform and one in a yellow.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,11",11,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=11&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4411&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 10/10/1964, Neale Stadium, Moscow (Idaho)",University of Oregon,8-14,10/10/1964,Moscow (Idaho),Neale Stadium,46.726313,-117.015611,$0.50,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, October 10, 1964, Neale Stadium Moscow (Idaho). Dad's Day. Cover depicts a cartoon picture of a family getting tickets for the game.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,13",13,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=13&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4513&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Oregon State, 10/15/1960, Neale Stadium, Moscow (Idaho)",Oregon State,8-28,10/15/1960,Moscow (Idaho),Neale Stadium,46.726333,-117.015591,$0.25,"Official souvenir program of the Idaho - Oregon State football game, Saturday, October 15, 1960, Neale Stadium, Moscow (Idaho). Homecoming;  Cover depicts a cartoon drawing of a football player in green.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,19",19,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=19&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4619&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Washington State, 11/12/1960, Neale Stadium, Moscow (Idaho)",Washington State,7-18,11/12/1960,Moscow (Idaho),Neale Stadium,46.726353,-117.015571,$0.25,"Official souvenir program of the Idaho - Washington State football game, Saturday, November 12, 1960, Neale Stadium, Moscow (Idaho). Dad's Day. Cover depicts a picture of a football player in green catching a football.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,22",22,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=22&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4722&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - San Jose State, 09/30/1961, Neale Stadium, Moscow (Idaho)",San Jose State,27-18,9/30/1961,Moscow (Idaho),Neale Stadium,46.726373,-117.015551,$0.25,"Official souvenir program of the Idaho - San Jose State football game, Saturday, September 30, 1961, Neale Stadium, Moscow (Idaho). Homecoming. Cover depicts a picture of a football player in a yellow and blue uniform catching a football.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,26",26,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=26&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4826&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - College of the Pacific, 11/04/1961, Neale Stadium, Moscow (Idaho)",College of the Pacific,2-27,11/4/1961,Moscow (Idaho),Neale Stadium,46.726393,-117.015531,$0.25,"Official souvenir program of the Idaho - College of the Pacific football game, Saturday, November 04, 1961, Neale Stadium, Moscow (Idaho). Dad's Day. Cover depicts a picture of a football players in blue getting tackled by football players in white.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,31",31,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=31&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=4931&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Washington State College, 10/11/1958, Neale Stadium, Moscow (Idaho)",Washington State,0-8,10/11/1958,Moscow (Idaho),Neale Stadium,46.726413,-117.015511,$0.25,"Official souvenir program of the Idaho - Washington State College football game, Saturday, October 11, 1958, Neale Stadium, Moscow (Idaho). Cover depicts a picture of a red football player tackling a blue football player.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,36",36,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=36&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=5036&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 10/14/1950, Neale Stadium",University of Oregon,14-0,10/14/1950,Moscow (Idaho),Neale Stadium,46.726433,-117.015491,$0.25,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, October 14,1950, Neale Stadium. Homecoming. Cover depicts a cartoon picture of a football player in blue tackling a football player in red.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,39",39,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=39&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=5139&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Utah State, 11/15/1958, Neale Stadium, Moscow (Idaho)",Utah State,34-7,11/15/1958,Moscow (Idaho),Neale Stadium,46.726453,-117.015471,$0.25,"Official souvenir program of the Idaho - Utah State football game, Saturday, November 15, 1958, Neale Stadium, Moscow (Idaho). Dad's Day. Cover depicts a picture of a football player in a white uniform catching a football.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,40",40,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=40&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=5240&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Idaho, 05/16/1959, Neale Stadium, Moscow (Idaho)",University of Idaho,,5/16/1959,Moscow (Idaho),Neale Stadium,46.726473,-117.015451,$0.10,"Official souvenir program of the Idaho - University of Idaho football game, Saturday, May 16, 1959, Neale Stadium, Moscow (Idaho). Varsity against Alumni. Cover depicts a picture of a football player in a white uniform about to throw the football.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,41",41,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=41&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=5341&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
